id,title,category,subcategory,subsubcategory,description,difficulty,tags
547d91d9-4d9a-4c06-8f52-a589bfd66fae,"Benchmark CMake/Ninja: lld vs ld.bfd, LTO, ftime-trace",Build & Dependency Management,Build Optimization & Performance,Build Profiling & Benchmarking,"Benchmark a CMake/Ninja C++ project across linkers (ld.bfd vs lld) and with/without LTO, capturing compile vs link phase durations and Clang -ftime-trace to identify the five slowest translation units. Produce a JSON report comparing full and incremental rebuild times (after touching a common header) and recommend the fastest configuration.",,
1a51ef9e-c5ff-4404-8d22-acb9a6e93767,Benchmark CMake/Ninja Builds with -ftime-trace; Enable ccache/PCH,Build & Dependency Management,Build Optimization & Performance,Build Profiling & Benchmarking,"Instrument a provided CMake/Ninja C++ project with clang’s -ftime-trace and Ninja -d stats to profile cold and incremental builds, reporting the slowest translation units and link steps. Enable ccache and a precompiled header via CMake, then re-benchmark and output a before/after summary of total build time, parallelism, and cache hit rates.",,
52884334-2cb5-43cc-9f71-1ef5a3d68107,Configure and Verify Bazel Remote Cache with bazel-remote,Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure a Bazel workspace to use a local HTTP remote cache (bazel-remote) persisted under /cache, build a mixed C++/Java project to prime the cache, then simulate a fresh checkout and rebuild. Verify the second build achieves >95% remote cache hits with no compile actions executed, based on Bazel’s build event summary.",,
0cb8dbf4-cb11-4ed6-a212-325fd5d97ba5,Configure sccache-backed Incremental Rust Workspace Builds with Metrics,Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure sccache for a Rust workspace and wire cargo to use it with rustc, enabling incremental compilation with a shared on-disk cache. Build twice across two clean worktrees, then modify a single crate to demonstrate minimal rebuilds and record timings plus sccache hit/miss stats to /app/metrics.json.",,
d24c17f0-b523-4201-9aa8-6607e663f198,Repair CMake Shared Library SONAME and Versioned Exports,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,Repair a CMake-based C shared library that leaks internal symbols and lacks proper SONAME/versioning by enforcing hidden visibility and a GNU ld version script. Validate that the built lib has SONAME libfoo.so.1 and exports only the intended API symbols under version FOO_1.0 (checked via nm/readelf) and that a minimal client links and runs successfully.,,
302565c6-1518-4598-8b25-959449e038a6,Repair CMake Build: libvector.so.3 Exports and SONAME,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Repair a CMake-based build so the produced shared library is libvector.so.3 with an exact exported symbol set matching /app/exports.txt, no undefined symbols, no RUNPATH/RPATH, and the correct SONAME. Validate by diffing nm -D --defined-only against the reference, checking readelf -d for SONAME/RPATH, and building a tiny client that links dynamically and prints a known checksum to confirm ABI correctness.",,
6ab71fa9-3c39-4264-b360-1ea25465615a,"Fix CMake libimagelib PIC, Visibility, SONAME Symlinks",Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Repair a failing CMake build of a versioned shared library (libimagelib) by fixing PIC/visibility flags and defining a proper SONAME and symlink chain. Validate by ensuring libimagelib.so.2 resolves via ldd, nm -D exposes only intended symbols, a tiny consumer links and runs, and a sample transform output matches an expected SHA256.",,
c740044a-9fea-437c-a79b-4cba343a4e0c,Fix CMake Shared Library Linking for PIC/OpenMP/Filesystem/RPATH,Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Repair a CMake-based C++17 project that fails to link a shared library due to non-PIC static dependencies and missing OpenMP/filesystem linkage. Rebuild static libs with -fPIC (or use shared), enable OpenMP via CMake and conditionally link stdc++fs for older GCC, set $ORIGIN rpath, and validate by running a threaded test that dlopens the library.",,
55eb2da0-d05c-47e8-afe7-a3999b231e8e,"Fix JNI Build with jni.h, PIC, libjvm RPATH",Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Repair a failing JNI native library build by fixing missing jni.h includes, enabling position-independent code, and linking against the correct libjvm with proper RPATH in the build configuration. Verify by producing a loadable libnative.so that the provided Java class can load and call to print an expected message.",,
3ca94130-8b92-4f25-8017-eb0015e29ce6,Fix Meson SDL2 Detection with PKG_CONFIG_PATH and LD_LIBRARY_PATH,Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,"Diagnose and fix a Meson-based C project that fails to detect SDL2 because it is installed under a non-standard prefix (/opt/sdl2). Configure environment variables (e.g., PKG_CONFIG_PATH and LD_LIBRARY_PATH) and, if needed, a Meson cross file so the project configures, builds, and the resulting binary links against /opt/sdl2 as verified by ldd.",,
