id,title,category,subcategory,subsubcategory,description,difficulty,tags
547d91d9-4d9a-4c06-8f52-a589bfd66fae,"Benchmark CMake-based C++ Ninja Builds: ld.bfd vs lld, LTO, Clang -ftime-trace JSON Report",Build & Dependency Management,Build Optimization & Performance,Build Profiling & Benchmarking,"Benchmark a CMake/Ninja C++ project across linkers (ld.bfd vs lld) and with/without LTO, capturing compile vs link phase durations and Clang -ftime-trace to identify the five slowest translation units. Produce a JSON report comparing full and incremental rebuild times (after touching a common header) and recommend the fastest configuration.",,
1a51ef9e-c5ff-4404-8d22-acb9a6e93767,"Instrument and Benchmark CMake-based C++ Ninja Builds with Clang ftime-trace, Ninja -d stats, ccache, and PCH",Build & Dependency Management,Build Optimization & Performance,Build Profiling & Benchmarking,"Instrument a provided CMake/Ninja C++ project with clang’s -ftime-trace and Ninja -d stats to profile cold and incremental builds, reporting the slowest translation units and link steps. Enable ccache and a precompiled header via CMake, then re-benchmark and output a before/after summary of total build time, parallelism, and cache hit rates.",,
52884334-2cb5-43cc-9f71-1ef5a3d68107,"Configure Bazel Workspace for bazel-remote HTTP Cache and Verify >95% Remote Hits, No Compile Actions",Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure a Bazel workspace to use a local HTTP remote cache (bazel-remote) persisted under /cache, build a mixed C++/Java project to prime the cache, then simulate a fresh checkout and rebuild. Verify the second build achieves >95% remote cache hits with no compile actions executed, based on Bazel’s build event summary.",,
0cb8dbf4-cb11-4ed6-a212-325fd5d97ba5,Configure sccache-backed Incremental Cargo Workspace Builds and Record Timings and sccache Stats to /app/metrics.json,Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure sccache for a Rust workspace and wire cargo to use it with rustc, enabling incremental compilation with a shared on-disk cache. Build twice across two clean worktrees, then modify a single crate to demonstrate minimal rebuilds and record timings plus sccache hit/miss stats to /app/metrics.json.",,
d24c17f0-b523-4201-9aa8-6607e663f198,"Repair CMake-based C Shared Library: Set SONAME, Enforce Hidden Visibility, Configure GNU ld Version Script",Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,Repair a CMake-based C shared library that leaks internal symbols and lacks proper SONAME/versioning by enforcing hidden visibility and a GNU ld version script. Validate that the built lib has SONAME libfoo.so.1 and exports only the intended API symbols under version FOO_1.0 (checked via nm/readelf) and that a minimal client links and runs successfully.,,
302565c6-1518-4598-8b25-959449e038a6,"Repair CMake-based libvector.so.3: Enforce Export Set, Correct SONAME, Remove RPATH and RUNPATH, Resolve Undefined Symbols",Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Repair a CMake-based build so the produced shared library is libvector.so.3 with an exact exported symbol set matching /app/exports.txt, no undefined symbols, no RUNPATH/RPATH, and the correct SONAME. Validate by diffing nm -D --defined-only against the reference, checking readelf -d for SONAME/RPATH, and building a tiny client that links dynamically and prints a known checksum to confirm ABI correctness.",,
6ab71fa9-3c39-4264-b360-1ea25465615a,"Repair CMake-based libimagelib Shared Library SONAME, PIC, Visibility, Symlink Chain",Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Repair a failing CMake build of a versioned shared library (libimagelib) by fixing PIC/visibility flags and defining a proper SONAME and symlink chain. Validate by ensuring libimagelib.so.2 resolves via ldd, nm -D exposes only intended symbols, a tiny consumer links and runs, and a sample transform output matches an expected SHA256.",,
c740044a-9fea-437c-a79b-4cba343a4e0c,"Repair CMake-based C++17 Shared Library Linking: Rebuild PIC Static Dependencies, Enable OpenMP, Conditionally Link stdc++fs, Set $ORIGIN RPATH, Validate with Threaded dlopen Test",Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Repair a CMake-based C++17 project that fails to link a shared library due to non-PIC static dependencies and missing OpenMP/filesystem linkage. Rebuild static libs with -fPIC (or use shared), enable OpenMP via CMake and conditionally link stdc++fs for older GCC, set $ORIGIN rpath, and validate by running a threaded test that dlopens the library.",,
55eb2da0-d05c-47e8-afe7-a3999b231e8e,"Fix JNI Native Library Build: Include jni.h, Enable PIC, Configure libjvm RPATH",Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Repair a failing JNI native library build by fixing missing jni.h includes, enabling position-independent code, and linking against the correct libjvm with proper RPATH in the build configuration. Verify by producing a loadable libnative.so that the provided Java class can load and call to print an expected message.",,
3ca94130-8b92-4f25-8017-eb0015e29ce6,"Fix Meson SDL2 Build under /opt/sdl2: Configure PKG_CONFIG_PATH, LD_LIBRARY_PATH, Verify with ldd",Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,"Diagnose and fix a Meson-based C project that fails to detect SDL2 because it is installed under a non-standard prefix (/opt/sdl2). Configure environment variables (e.g., PKG_CONFIG_PATH and LD_LIBRARY_PATH) and, if needed, a Meson cross file so the project configures, builds, and the resulting binary links against /opt/sdl2 as verified by ldd.",,
ac20dff2-1cd9-458a-903c-7706dd3a20b7,"Diagnose and Repair Cargo openssl-sys and bindgen Build by Configuring PKG_CONFIG_PATH, OPENSSL_DIR, LIBCLANG_PATH, LD_LIBRARY_PATH and Verifying HTTPS",Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,Diagnose and repair a Rust crate build that fails to compile openssl-sys and bindgen by installing the proper system tools and correctly setting PKG_CONFIG_PATH/OPENSSL_DIR and LIBCLANG_PATH/LD_LIBRARY_PATH so Cargo can find OpenSSL and libclang. Verify by building in release mode and running a provided HTTPS client example to confirm TLS works end-to-end.,,
58b4b54c-32e1-49f0-925a-93fd3a1d008a,Resolve CMake-based C++ protoc and libprotobuf Version Mismatch,Build & Dependency Management,Build Troubleshooting & Repair,Dependency & Compatibility Issues,"Diagnose a CMake C++ project that fails to build and link because the protoc used for code generation does not match the installed libprotobuf runtime version. Install or build a matching protobuf toolchain, update PATH and CMAKE_PREFIX_PATH so generation and linking use the same version, then rebuild to produce a binary that runs and prints a provided test message.",,
