id,category,subcategory,subsubcategory,description,difficulty,tags
547d91d9-4d9a-4c06-8f52-a589bfd66fae,Build & Dependency Management,Build Optimization & Performance,Build Profiling & Benchmarking,"Benchmark a CMake/Ninja C++ project across linkers (ld.bfd vs lld) and with/without LTO, capturing compile vs link phase durations and Clang -ftime-trace to identify the five slowest translation units. Produce a JSON report comparing full and incremental rebuild times (after touching a common header) and recommend the fastest configuration.",,
1a51ef9e-c5ff-4404-8d22-acb9a6e93767,Build & Dependency Management,Build Optimization & Performance,Build Profiling & Benchmarking,"Instrument a provided CMake/Ninja C++ project with clang’s -ftime-trace and Ninja -d stats to profile cold and incremental builds, reporting the slowest translation units and link steps. Enable ccache and a precompiled header via CMake, then re-benchmark and output a before/after summary of total build time, parallelism, and cache hit rates.",,
52884334-2cb5-43cc-9f71-1ef5a3d68107,Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure a Bazel workspace to use a local HTTP remote cache (bazel-remote) persisted under /cache, build a mixed C++/Java project to prime the cache, then simulate a fresh checkout and rebuild. Verify the second build achieves >95% remote cache hits with no compile actions executed, based on Bazel’s build event summary.",,
0cb8dbf4-cb11-4ed6-a212-325fd5d97ba5,Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure sccache for a Rust workspace and wire cargo to use it with rustc, enabling incremental compilation with a shared on-disk cache. Build twice across two clean worktrees, then modify a single crate to demonstrate minimal rebuilds and record timings plus sccache hit/miss stats to /app/metrics.json.",,
d24c17f0-b523-4201-9aa8-6607e663f198,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,Repair a CMake-based C shared library that leaks internal symbols and lacks proper SONAME/versioning by enforcing hidden visibility and a GNU ld version script. Validate that the built lib has SONAME libfoo.so.1 and exports only the intended API symbols under version FOO_1.0 (checked via nm/readelf) and that a minimal client links and runs successfully.,,
302565c6-1518-4598-8b25-959449e038a6,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Repair a CMake-based build so the produced shared library is libvector.so.3 with an exact exported symbol set matching /app/exports.txt, no undefined symbols, no RUNPATH/RPATH, and the correct SONAME. Validate by diffing nm -D --defined-only against the reference, checking readelf -d for SONAME/RPATH, and building a tiny client that links dynamically and prints a known checksum to confirm ABI correctness.",,
6ab71fa9-3c39-4264-b360-1ea25465615a,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Repair a failing CMake build of a versioned shared library (libimagelib) by fixing PIC/visibility flags and defining a proper SONAME and symlink chain. Validate by ensuring libimagelib.so.2 resolves via ldd, nm -D exposes only intended symbols, a tiny consumer links and runs, and a sample transform output matches an expected SHA256.",,
c740044a-9fea-437c-a79b-4cba343a4e0c,Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Repair a CMake-based C++17 project that fails to link a shared library due to non-PIC static dependencies and missing OpenMP/filesystem linkage. Rebuild static libs with -fPIC (or use shared), enable OpenMP via CMake and conditionally link stdc++fs for older GCC, set $ORIGIN rpath, and validate by running a threaded test that dlopens the library.",,
55eb2da0-d05c-47e8-afe7-a3999b231e8e,Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Repair a failing JNI native library build by fixing missing jni.h includes, enabling position-independent code, and linking against the correct libjvm with proper RPATH in the build configuration. Verify by producing a loadable libnative.so that the provided Java class can load and call to print an expected message.",,
3ca94130-8b92-4f25-8017-eb0015e29ce6,Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,"Diagnose and fix a Meson-based C project that fails to detect SDL2 because it is installed under a non-standard prefix (/opt/sdl2). Configure environment variables (e.g., PKG_CONFIG_PATH and LD_LIBRARY_PATH) and, if needed, a Meson cross file so the project configures, builds, and the resulting binary links against /opt/sdl2 as verified by ldd.",,
ac20dff2-1cd9-458a-903c-7706dd3a20b7,Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,Diagnose and repair a Rust crate build that fails to compile openssl-sys and bindgen by installing the proper system tools and correctly setting PKG_CONFIG_PATH/OPENSSL_DIR and LIBCLANG_PATH/LD_LIBRARY_PATH so Cargo can find OpenSSL and libclang. Verify by building in release mode and running a provided HTTPS client example to confirm TLS works end-to-end.,,
58b4b54c-32e1-49f0-925a-93fd3a1d008a,Build & Dependency Management,Build Troubleshooting & Repair,Dependency & Compatibility Issues,"Diagnose a CMake C++ project that fails to build and link because the protoc used for code generation does not match the installed libprotobuf runtime version. Install or build a matching protobuf toolchain, update PATH and CMAKE_PREFIX_PATH so generation and linking use the same version, then rebuild to produce a binary that runs and prints a provided test message.",,
6c516e46-8264-4ce9-b469-3b90d890e67e,Build & Dependency Management,Build Troubleshooting & Repair,Dependency & Compatibility Issues,"Diagnose a Rust Cargo build failing on Linux due to an OpenSSL headers/library version mismatch (openssl-sys expecting OpenSSL 3 while the OS provides 1.1). Resolve by only modifying Cargo.toml (pin compatible crate versions or enable the vendored OpenSSL feature) and installing minimal build tools so cargo build --release succeeds and the produced binary runs and prints ""TLS: OK"".",,
91bab3c5-b257-41cf-82d2-16024239856e,Build & Dependency Management,Build Troubleshooting & Repair,Dependency & Compatibility Issues,Diagnose and repair a Node.js project failing to build because the sharp native addon is incompatible with the installed Node.js version and the required libvips system libraries are missing. Align the Node/ABI and dependency versions (or rebuild sharp from source) and install the OS-level libraries so npm install completes and the test suite passes.,,
ef97f6d0-15e0-48df-9ea3-af07d2d0c965,Build & Dependency Management,Continuous Integration & Automation,Artifact Publishing & Deployment,"Create a CI-style release pipeline that cross-compiles a Go CLI for linux/amd64 and linux/arm64, packages deterministic tarballs with embedded build metadata, generates SBOM and checksums, signs the artifacts, and publishes them to a local “release” store; verify by installing from that store and validating the signature.",,
d004bf1a-696f-4bb1-a2d9-f894daf0d652,Build & Dependency Management,Continuous Integration & Automation,Artifact Publishing & Deployment,"Package a small CLI tool as a Debian .deb and publish it to a locally hosted APT repository served over HTTP. Generate and sign repository metadata, add the repo to sources.list, install the package via apt by name, and verify the installed binary runs.",,
d01a7519-dcc0-43bb-a65e-4074b940ba11,Build & Dependency Management,Continuous Integration & Automation,Build Verification & Reproducibility,"Create a hermetic CI-style script that builds a provided Go CLI twice in separate directories with different GOPATHs, using -trimpath, -buildvcs=false, and SOURCE_DATE_EPOCH to eliminate path and timestamp leakage, then asserts identical SHA-256 hashes of the binaries. On success, emit a brief reproducibility report and a minimal provenance JSON; on failure, output a targeted diff (e.g., cmp/strings) to highlight remaining non-determinism.",,
89a3682b-5a04-4ffb-985b-3f58e545e0c7,Build & Dependency Management,Continuous Integration & Automation,CI Configuration & Maintenance,"Configure a GitHub Actions workflow that builds and tests a Rust project in a matrix (Linux and macOS) with sccache and dependency caching, then on tags performs two clean release builds and asserts the binaries are bit-for-bit identical before uploading them as artifacts. The pipeline must also generate and upload an SBOM for each artifact and fail if reproducibility or SBOM generation checks fail.",,
acbbbb45-f549-44d6-9a72-46f4e39283d2,Build & Dependency Management,Continuous Integration & Automation,CI Configuration & Maintenance,"Fix and harden a GitHub Actions workflow for a CMake-based C project by pinning actions to SHAs, enabling ccache with cache restore/save across a gcc/clang matrix, and splitting build/test/release with minimal permissions and concurrency cancellation. Validate locally with act that pushes run build+test across the matrix and that tagging v* produces an uploaded release artifact.",,
b200346c-e6fc-4d49-9949-7ab77fac3f00,Build & Dependency Management,Dependency Management,Dependency Installation & Version Control,"Resolve peerDependency conflicts in a Yarn v3 Plug'n'Play monorepo by using resolutions and packageExtensions to align versions of React, Webpack loaders, and ESLint plugins. Produce a reproducible install (yarn.lock) and verify the workspace builds and lints successfully under Node 20.",,
6a07d759-30bc-4395-b9a2-7de5f67f9049,Build & Dependency Management,Dependency Management,Dependency Resolution & Conflict Fixing,"Diagnose and fix a Rust project’s build failure caused by a dependency tree pulling in both native-tls (openssl-sys) and rustls while the host OpenSSL version is incompatible. Align Cargo features and versions (e.g., select rustls-tls, enable vendored OpenSSL, or install the correct libssl-dev) so cargo build and the test suite complete successfully.",,
415de7ad-9949-4882-a4b6-b21b0197f6ac,Build & Dependency Management,Dependency Management,Dependency Resolution & Conflict Fixing,"In a Rust Cargo workspace, diagnose and resolve a build failure caused by conflicting serde/serde_json versions and incompatible feature requirements across multiple member crates and a pinned transitive dependency. Modify only Cargo.toml constraints (workspace dependency versions, [patch.crates-io], and feature flags) so that cargo build completes without changing source code or removing dependencies.",,
c24cdce5-7f82-4449-8918-53a0a402ddd7,Build & Dependency Management,Dependency Management,Dependency Resolution & Conflict Fixing,"Resolve a Rust Cargo workspace that fails to compile due to transitive version/feature conflicts between reqwest, openssl-sys, and tokio plus a system OpenSSL 1.1 vs 3.0 mismatch. Pin compatible crate versions, adjust features and Cargo patches, configure pkg-config to link the intended OpenSSL, vendor dependencies for offline build, and validate by building and running a CLI that performs an HTTPS request.",,
2db2d3ba-ed01-45d4-9a16-d0d4170b247d,Build & Dependency Management,Dependency Management,Lockfile & Manifest Maintenance,"In a Rust workspace with crates using branch-based git and wildcard semver dependencies, pin each to exact versions and commit SHAs in Cargo.toml and regenerate a deterministic Cargo.lock. Verify reproducibility by building with cargo build --frozen in a clean state, ensuring no yanked or platform-specific mismatches remain in the lockfile.",,
