id,category,subcategory,subsubcategory,description,difficulty,tags
1628ebe2-8742-4b51-b41b-256e4cf27820,Build & Dependency Management,Source Compilation & Build Systems,Artifact Generation & Packaging,"Configure a CMake project and use CPack to produce both .deb and .rpm packages for a small C/C++ CLI, including /usr/bin binary, a man(1) page, bash completion, and a separate -dbg package with split debug symbols. Validate package metadata (version from git tag), ownership/permissions, dependencies, and contents via dpkg-deb and rpm queries, and by extracting to a temporary root to confirm correct install paths.",,
6287b90a-760f-4c75-bb7d-0f4dd44589cd,Build & Dependency Management,Source Compilation & Build Systems,Build System Configuration,"Replace the project's Autotools build with Meson + Ninja, adding a subproject wrap for a missing dependency, installing headers, and generating a pkg-config file, and then add a Meson cross file to support armv7hf cross-compilation with hard-float. Verify by building native and cross variants, running the native tests, and using qemu-arm to execute a sample program linked against the cross-built shared library while pkg-config resolves the correct paths.",,
ada49b3b-3f1f-4d11-811c-f9cde414aeff,Build & Dependency Management,Build Troubleshooting & Repair,Dependency & Compatibility Issues,"Debug a Node.js project with native C++ addons that fail to build due to Node/Electron ABI mismatches: configure and run node-gyp to rebuild against the correct N-API version, update package.json build scripts and version constraints, and verify successful installation and tests in both Node and Electron environments.",,
069e3982-9322-496e-8bfb-c4229c82f76b,Build & Dependency Management,Dependency Management,Dependency Resolution & Conflict Fixing,"Implement a CLI tool that scans a mixed Gradle/Maven Java project for conflicting transitive JAR versions causing duplicate classes, then automatically generates and injects a dependencyManagement or resolutionStrategy snippet to enforce consistent versions and update the build files accordingly.",,
0cb8dbf4-cb11-4ed6-a212-325fd5d97ba5,Build & Dependency Management,Build Optimization & Performance,Incremental Builds & Caching,"Configure sccache for a Rust workspace and wire cargo to use it with rustc, enabling incremental compilation with a shared on-disk cache. Build twice across two clean worktrees, then modify a single crate to demonstrate minimal rebuilds and record timings plus sccache hit/miss stats to /app/metrics.json.",,
e0650f37-e473-471d-a3c6-c3529e037766,Data Processing & Scripting,Data Cleaning & Transformation,Normalization & Standardization,"Create an executable Python script that reads /data/contacts.csv, parses and normalizes free-form phone numbers into E.164 format using a default country code, filters out invalid numbers, and writes /output/standardized_contacts.csv with the original data plus a phone_e164 column. Log each invalid or unparseable phone entry with row index and error reason to /output/invalid_phones.log.",,
95b7040f-a6da-461f-9068-cf9027f423a3,Data Processing & Scripting,Data Cleaning & Transformation,Aggregation & Reduction,"Create a Python CLI tool that reads a directory of JSONLines sensor event logs with ISO8601 timestamps and sensor IDs, normalizes timestamps to UTC, and groups readings by sensor and hourly buckets to compute count, sum, average, min, and max. The tool should write /app/output/hourly_summary.csv and an anomaly_report.json listing sensors whose hourly variance exceeds a specified threshold.",,
02e55115-a3fa-4ef6-9a37-9d36caaa157c,Data Processing & Scripting,Text & Document Processing,Markdown/HTML/Text Conversion,"Build a CLI tool that ingests a directory of Markdown files with YAML front-matter, concatenates them in specified order, and generates a single standalone HTML book with an autogenerated table of contents, inlined CSS, and images embedded as Base64. The tool must validate all internal links, emit index.html, and produce a JSON manifest describing chapter order and heading hierarchy.",,
072d1674-7ab2-4fac-a5f9-615ddf71461f,Data Processing & Scripting,Text & Document Processing,Report & Document Generation,"Create a command-line tool that scans a directory of Markdown notes with YAML front-matter (date, tags, authors), extracts metadata and titles, and generates a consolidated meeting_archive.md grouped chronologically by month. Also output a JSON index mapping each tag to its associated note file paths.",,
4399f143-11d9-4bd4-8ef0-02cc31d77cea,Data Processing & Scripting,File Parsing & Format Conversion,Text & Log Parsing,"Implement a Python CLI tool at /workspace/project/session_reporter.py that recursively reads all app.log and app.log.*.gz files in /workspace/logs, decompressing gzipped logs on the fly, extracts ISO8601 session start/end events to compute per-user session durations, and aggregates total, average, and maximum session times. The tool must output a sorted, deterministic JSON at /workspace/output/session_summary.json with no stdout on success and exit non-zero on any parsing error.",,
d1c544da-3e36-47d5-9a62-53f25c0cf1cf,Debugging & Troubleshooting,Code Debugging & Error Resolution,Runtime & Compilation Errors,"Diagnose and fix compilation failures in a Rust CLI application caused by incorrect lifetime annotations, missing trait implementations, and outdated feature flags in Cargo.toml. After repair, ensure cargo build --release succeeds and the tool processes /app/config/input.json without errors, printing the expected output.",,
c936f828-7732-4b92-81df-6940c702925c,Debugging & Troubleshooting,Security & Access Debugging,File & Directory Permission Errors,"Diagnose and fix file and directory permission issues preventing the Redis service from creating and binding its Unix socket at /var/run/redis/redis.sock by correcting ownership set by a faulty install script, adjusting the systemd unit’s RuntimeDirectory settings, and verifying that redis-cli can connect without sudo.",,
51996ac3-7415-4a76-bc23-c593e1cadcab,Debugging & Troubleshooting,Dependency & Build Troubleshooting,Version Incompatibility,"Diagnose and resolve conflicting SLF4J/Logback versions in a Maven-based Java service that compiles successfully but throws NoSuchMethodError at runtime due to transitive dependency mismatches. Update the POM to apply correct exclusions, align versions via dependencyManagement, and verify the fix using mvn dependency:tree and replayed integration tests.",,
dd360841-73b5-492a-aa4f-c26e92dd8ac3,Debugging & Troubleshooting,Root Cause Analysis & Postmortem Debugging,Postmortem Documentation & Preventive Measures,"Diagnose why a Java Spring Boot microservice running under realistic load intermittently hangs and drops requests due to thread-pool exhaustion and deadlocks. Produce /app/incident_postmortem.md summarizing root cause analysis, impact metrics, and preventive measures such as pool tuning, circuit breaker patterns, and enhanced monitoring alerts.",,
b8730aa5-c47e-49e9-86e7-f3dfd237606c,Debugging & Troubleshooting,Dependency & Build Troubleshooting,Version Incompatibility,"Diagnose a Rust workspace that fails to build because the pinned dependencies require a newer Rust toolchain/edition than the installed rustc and cargo. Resolve by activating a compatible toolchain (e.g., via rustup or a directory override) or re-resolving to compatible crate versions, then build and run the tests successfully.",,
c15ebdd3-59d8-4013-84c3-80811771c0ed,Interactive Challenges & Games,Tool & CLI Mastery Challenges,Shell Puzzle Games,"Starting at /app/maze/start, traverse a symlink-based filesystem maze where each encountered file contains JSON giving a regex for the next filename plus a token fragment and sequence number. Using only shell tools (find, sed/awk, jq, sort), detect and avoid cycles, collect and order fragments, then base64-decode and gunzip the concatenated string to plaintext and write it to /app/answer.txt.",,
84230560-65ec-4f50-b329-a49a33f92dd2,Interactive Challenges & Games,Interactive Programming & Debugging Challenges,Exploit & Reverse Engineering Games,"Interactively analyze a provided ELF ‘vault’ binary to discover and exploit a buffer overflow and format-string vulnerability, leaking the secret passphrase using gdb or strace. After successfully unlocking the vault, write the extracted passphrase to /app/flag.txt.",,
3b27ad89-0623-4bdc-b38d-f6bbc1e5425a,Interactive Challenges & Games,Interactive Programming & Debugging Challenges,Exploit & Reverse Engineering Games,Reverse a stripped ELF implementing a custom WASM-like bytecode VM that loads program.bin and rejects unknown opcodes; interactively recover the instruction set via objdump/gdb and black-box probing. Assemble a crafted bytecode payload that calls the hidden reveal routine to print the secret and write it to /app/results.txt.,,
67e4f07b-41d9-4a54-a320-8f0c1aae189e,Interactive Challenges & Games,Interactive Education & Learning Tasks,Progressive Learning Environments,"Create a terminal-based Bandit Lab where each level runs a simulated multi-armed bandit and the agent must implement a policy that beats a regret threshold to unlock the next level. Later stages introduce non-stationary payouts, delayed feedback, contextual features, and pull-budget constraints with automated evaluation after each run.",,
9bbb2315-513e-4ace-9c63-bf701dc8a966,Interactive Challenges & Games,Interactive Programming & Debugging Challenges,Exploit & Reverse Engineering Games,"Reverse-engineer the /app/vuln_vm binary that implements a custom stack-based bytecode VM, then craft a malicious bytecode payload to hijack control flow, bypass its authentication check, and print the hidden FLAG. Use the provided interactive harness at /app/harness.py to iteratively test and submit your payload as /app/exploit.bin.",,
ebeb4f45-9988-4948-9d64-f2fcb8b1574b,Machine Learning & AI,Deep Learning & Neural Network Engineering,Sharpness-Aware Minimization,"Create a PyTorch training script that implements the Sharpness-Aware Minimization (SAM) optimizer alongside standard SGD with momentum on CIFAR-10 using a small CNN, including a cosine annealing learning rate schedule and gradient accumulation. Evaluate and compare generalization gap, sharpness metric, and test accuracy, outputting a JSON with all metrics and model checkpoints.",,
ee5ab0a0-cf6e-48ca-a3c4-3aef470d6bbe,Machine Learning & AI,Foundation Models & Large-Scale Systems,Inference Optimization at Scale,"Quantize a BART summarization model to FP16 and build TensorRT engines with dynamic shape profiles for sequence lengths [128,256,512], deploy it on NVIDIA Triton Inference Server, and implement a CLI that sends batched HTTP requests to generate summaries. Finally, record throughput, P50/P99 latency, and peak GPU memory usage in /app/metrics.json.",,
a078a83f-7de0-485e-bb2c-6d00d4e1978f,Machine Learning & AI,Model Inference & Serving,Batch & Online Inference,"Implement a Python CLI tool that loads a TorchScript-exported object detection model and processes images in adjustable batches from a given directory, applying non-max suppression to produce bounding box predictions. Generate a COCO-formatted predictions JSON and a metrics.json detailing average per-image latency and peak GPU memory utilization.",,
41bea51e-f8d6-4967-8200-f5e1bd452e75,Machine Learning & AI,Responsible AI & Model Robustness,Explainability & Interpretability,"Implement a CLI that explains predictions of a pretrained HuggingFace sentiment model on a text file using both SHAP and LIME, repeating each method over multiple random seeds to quantify stability (Kendall tau of token-importance ranks and top-k Jaccard overlap). Write a JSON summary of stability metrics, a CSV of per-example attributions, and HTML token heatmaps for the most unstable cases.",,
eae5b996-46ac-4d1a-bfe1-8d1f2764d2a4,Machine Learning & AI,Model Evaluation & Validation,Error Analysis & Visualization,"Implement a CLI tool that reads prediction and label CSVs, computes per-class confusion matrix, calculates expected and maximum calibration errors, and identifies the top-3 most confused label pairs. The tool must generate a normalized confusion heatmap PNG, a reliability diagram PDF, and write metrics.json, confusion_matrix.csv, and top_confusions.csv with the exact schemas and filenames.",,
8ceec821-da9a-41e9-a3fb-fc815ada3a15,Scientific Computing & Analysis,Domain-Specific Computation,Computational Chemistry & Biology,"Create a Python CLI that loads a molecular dynamics trajectory of liquid water (XYZ frames plus periodic box dimensions) and computes the O–O radial distribution function g(r), its first minimum, and coordination number (integral to the first minimum), as well as the self-diffusion coefficient from the mean-squared displacement under periodic boundaries. Write g(r) to /app/gofr.csv and a JSON report with the first-minimum position, coordination number, and diffusion coefficient to /app/results.json, verifying normalization and minimum image handling.",,
9ba4534f-fa26-4782-9d5f-0bea36aefc2f,Scientific Computing & Analysis,Uncertainty Quantification & Sensitivity Analysis,Time-dependent Sobol Indices,"Create a Python CLI that takes a user-defined dynamic model, generates Saltelli sample sets, runs the model across a specified time grid, computes first-order and total-order Sobol sensitivity indices at each time point, and writes JSON metrics and time-series index plots to /app/output.",,
