id,category,subcategory,subsubcategory,description,difficulty,tags
9a541ce3-593a-446f-bf69-a5cb44682a6d,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Fix cross-compilation configuration to build a static ARMv7 ELF binary from provided C source. Then validate with readelf and qemu-arm that the binary’s ELF header reflects ARMv7, has no dynamic dependencies, and outputs the expected text when run.",,
d24c17f0-b523-4201-9aa8-6607e663f198,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,Repair a CMake-based C shared library that leaks internal symbols and lacks proper SONAME/versioning by enforcing hidden visibility and a GNU ld version script. Validate that the built lib has SONAME libfoo.so.1 and exports only the intended API symbols under version FOO_1.0 (checked via nm/readelf) and that a minimal client links and runs successfully.,,
02eaed24-fc17-4297-9bdf-4ef9ced8c87f,Build & Dependency Management,Build Troubleshooting & Repair,Build Output Validation,"Validate reproducible builds for a C/C++ project by building twice under different environments (e.g., varied timestamps or locales), comparing sha256 checksums of the resulting binaries, and then eliminate sources of non-determinism by applying flags like SOURCE_DATE_EPOCH, -fdebug-prefix-map, and -frandom-seed to achieve identical outputs.",,
626458c4-0384-42f1-8771-de8e3d116758,Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"A CMake-based C++ project using Boost.Asio and OpenSSL fails at link time due to missing SSL and crypto libraries. Update CMakeLists.txt (or build invocation) to correctly find and link OpenSSL and required Boost components, then verify the resulting HTTPS client connects to example.com and prints the HTTP status code.",,
9cff9d5e-6c07-4b65-a428-99c15efa2222,Build & Dependency Management,Build Troubleshooting & Repair,Compiler & Linker Errors,"Diagnose and fix linking errors in a Bazel build for a mixed Java/C++ JNI project, where native libraries report 'undefined symbol Java_com_example_MyClass_nativeMethod'. Update BUILD.bazel rules to include correct cc_library dependencies, apply -shared linkopts, and configure include and runtime paths so the binaries load without LD_LIBRARY_PATH.",,
ef842a7d-813c-4517-8a36-18b715855451,Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,"Set up and configure a cross-compiling environment in a Docker sandbox to build a CMake-based C project for the ARMv7 target, diagnosing and fixing toolchain file misconfigurations, incorrect CC/CXX/SYSROOT environment variables, and missing cross-compiler packages. Then rebuild the project, run the resulting ARM binary under QEMU, and verify it prints the expected output.",,
3ca94130-8b92-4f25-8017-eb0015e29ce6,Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,"Diagnose and fix a Meson-based C project that fails to detect SDL2 because it is installed under a non-standard prefix (/opt/sdl2). Configure environment variables (e.g., PKG_CONFIG_PATH and LD_LIBRARY_PATH) and, if needed, a Meson cross file so the project configures, builds, and the resulting binary links against /opt/sdl2 as verified by ldd.",,
51c7c08a-145f-4160-ba2b-ecb0773239e3,Build & Dependency Management,Build Troubleshooting & Repair,Configuration & Environment Issues,"In a Debian-based Docker sandbox, install and configure an aarch64-linux-gnu cross-compiler toolchain, set CMAKE_TOOLCHAIN_FILE, CC, CXX, SYSROOT, and PKG_CONFIG_PATH to resolve missing include and library paths, and build the CMake-based project for ARM64. Verify the resulting binary runs under QEMU-aarch64 and prints the expected token.",,
89a3682b-5a04-4ffb-985b-3f58e545e0c7,Build & Dependency Management,Continuous Integration & Automation,CI Configuration & Maintenance,"Configure a GitHub Actions workflow that builds and tests a Rust project in a matrix (Linux and macOS) with sccache and dependency caching, then on tags performs two clean release builds and asserts the binaries are bit-for-bit identical before uploading them as artifacts. The pipeline must also generate and upload an SBOM for each artifact and fail if reproducibility or SBOM generation checks fail.",,
acbbbb45-f549-44d6-9a72-46f4e39283d2,Build & Dependency Management,Continuous Integration & Automation,CI Configuration & Maintenance,"Fix and harden a GitHub Actions workflow for a CMake-based C project by pinning actions to SHAs, enabling ccache with cache restore/save across a gcc/clang matrix, and splitting build/test/release with minimal permissions and concurrency cancellation. Validate locally with act that pushes run build+test across the matrix and that tagging v* produces an uploaded release artifact.",,
b200346c-e6fc-4d49-9949-7ab77fac3f00,Build & Dependency Management,Dependency Management,Dependency Installation & Version Control,"Resolve peerDependency conflicts in a Yarn v3 Plug'n'Play monorepo by using resolutions and packageExtensions to align versions of React, Webpack loaders, and ESLint plugins. Produce a reproducible install (yarn.lock) and verify the workspace builds and lints successfully under Node 20.",,
c24cdce5-7f82-4449-8918-53a0a402ddd7,Build & Dependency Management,Dependency Management,Dependency Resolution & Conflict Fixing,"Resolve a Rust Cargo workspace that fails to compile due to transitive version/feature conflicts between reqwest, openssl-sys, and tokio plus a system OpenSSL 1.1 vs 3.0 mismatch. Pin compatible crate versions, adjust features and Cargo patches, configure pkg-config to link the intended OpenSSL, vendor dependencies for offline build, and validate by building and running a CLI that performs an HTTPS request.",,
069e3982-9322-496e-8bfb-c4229c82f76b,Build & Dependency Management,Dependency Management,Dependency Resolution & Conflict Fixing,"Implement a CLI tool that scans a mixed Gradle/Maven Java project for conflicting transitive JAR versions causing duplicate classes, then automatically generates and injects a dependencyManagement or resolutionStrategy snippet to enforce consistent versions and update the build files accordingly.",,
b2086247-1990-4dbe-baff-69682324c773,Build & Dependency Management,Dependency Management,Lockfile & Manifest Maintenance,Resolve peerDependency conflicts in a Yarn v3 workspaces monorepo by aligning manifest ranges and regenerating a deterministic yarn.lock with Corepack enabled so yarn install --immutable succeeds on Linux. Prove reproducibility by performing two clean installs that yield identical resolved versions and an unchanged install-state file.,,
c75d663b-a8a7-45cb-abeb-61b44a63c008,Build & Dependency Management,Language & Ecosystem-Specific Build Management,C/C++ & Systems Builds,Create a CMake superbuild that compiles vendored zlib and libpng via ExternalProject_Add and then builds a C++ CLI (pngdim) that links them. Ensure correct SONAME and RUNPATH so the produced binary runs in the sandbox and transforms a provided PNG to /app/out.png with an expected SHA256.,,
a71eb1f6-ef8a-4aed-a908-73c7e9743ce0,Build & Dependency Management,Language & Ecosystem-Specific Build Management,C/C++ & Systems Builds,"Configure a CMake-based C project to produce bit-for-bit reproducible builds by enabling deterministic archives and stripping build paths (e.g., SOURCE_DATE_EPOCH, ar D, -ffile-prefix-map/-fdebug-prefix-map) with split DWARF. Build twice in different directories and verify identical SHA-256 digests while ensuring no absolute build paths remain in the binary.",,
585f16e9-ef35-4e4d-9cd7-13769db30599,Build & Dependency Management,Language & Ecosystem-Specific Build Management,C/C++ & Systems Builds,Write a POSIX shell script that cross-compiles a CMake-based C project into static and shared libraries for both x86_64-linux-gnu and armv7-linux-gnueabihf using provided toolchain files and installs each build into separate staging directories. Then generate a combined pkg-config index merging metadata for both architectures and verify correct linkage by building and running sample executables against each library variant.,,
dd6be65a-73b8-4197-93fa-bdde30633481,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Java & JVM-Based Builds,"Configure a multi-module Maven project to produce reproducible, deterministic JARs by normalizing timestamps, sorting entries, and stripping non-essential metadata using the Maven Reproducible Builds Plugin. After two clean builds in separate directories, verify the byte-for-byte equality of all generated artifacts.",,
